Receptor,PathFeatures
1.0,"['767333011011', '676333111111', '767333110110', '676333100100', '766333002001', '667333022011', '676333222111', '766333220110', '667333200100', '676333003001', '767333033011', '676333333111', '767333330110', '676333300100', '768333000000']"
1.0,"['766334000000', '667343000000', '676433000000', '766334000000', '667343000000', '676433000000', '768333000000']"
1.0,"['766343000000', '667433000000', '676334000000', '766343000000', '667433000000', '676334000000', '766343000000', '667433000000', '676334000000', '766343000000', '667433000000', '676334000000', '766343000000', '668433000000']"
6.0,"['767333011011', '6716334110110', '7168343100100']"
4.0,"['766333111111', '666333111111', '667333111111']"
4.0,"['7616444110110', '61616444100100', '16166444002001', '1667443022011']"
1.0,"['766344000000', '666444000000', '666443000000', '667433000000', '676334000000', '766343000000', '667433000000', '676334000000', '766344000000', '666444000000', '666443000000', '668433000000']"
4.0,"['766444111111', '666444111111', '667444111111']"
6.0,"['866333011011', '6616334110110', '6168343100100']"
0.0,"['766333112121', '667333123211', '676333233111', '768333330110']"
3.0,"['866444011011', '666444111112', '668444112121']"
2.0,"['866444011011', '666444111111', '666444110110', '666444100100', '668444000000']"
6.0,"['866444011012', '668443112121', '686433122212', '866333223121', '6616334230210', '6168343300100']"
1.0,"['766343000000', '667433000000', '676334000000', '766343001001', '666433011011', '667333111111', '676334110110', '766343100100', '667433000000', '676334000000', '766343000000', '668433000000']"
4.0,"['766333011011', '666334110110', '667344102102']"
